NAME,DATE,OPPONENT,Goals,Assists,Points,PIMS,PPG,SHG,ENG,GWG,GTG,Shots,,,,,,,,,,,,,,
Reid Sturos,2-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Riley Sweeney,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,
Riley Sweeney,11-Oct,Minn.Duluth,0,1,1,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Riley Sweeney,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Riley Sweeney,18-Oct,NotreDame,0,1,1,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Riley Sweeney,20-Oct,NotreDame,0,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Riley Sweeney,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Riley Sweeney,26-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Riley Sweeney,1-Nov,Michigan,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Riley Sweeney,2-Nov,Michigan,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Max Vallis,5-Oct,Laurentian,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Max Vallis,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Max Vallis,12-Oct,Minn.Duluth,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Max Vallis,18-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Max Vallis,20-Oct,NotreDame,0,0,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,
Max Vallis,25-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Max Vallis,26-Oct,NorthernMich.,0,1,1,2,0,0,0,0,0,1,,,,,,,,,,,,,,
